"table_column_name","description"
S413419,With lift// Level 1 or 2// 1 pensionable and 1 non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413420,All// Level 3 or 4// 1 pensionable and 1 non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413421,With lift// Level 3 or 4// 1 pensionable and 1 non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413422,All// Level 5 or 6// 1 pensionable and 1 non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413423,With lift// Level 5 or 6// 1 pensionable and 1 non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413424,All// Level 7 to 9// 1 pensionable and 1 non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413425,All// Level 10 or more// 1 pensionable and 1 non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413426,All// Basement// 1 pensionable and 2 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413427,Any external stairs// Basement// 1 pensionable and 2 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413428,All// Ground// 1 pensionable and 2 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413429,Any external stairs// Ground// 1 pensionable and 2 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413430,All// Level 1 or 2// 1 pensionable and 2 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413431,External stairs Only// Level 1 or 2// 1 pensionable and 2 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413432,With lift// Level 1 or 2// 1 pensionable and 2 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413433,All// Level 3 or 4// 1 pensionable and 2 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413434,With lift// Level 3 or 4// 1 pensionable and 2 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413435,All// Level 5 or 6// 1 pensionable and 2 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413436,With lift// Level 5 or 6// 1 pensionable and 2 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413437,All// Level 7 to 9// 1 pensionable and 2 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413438,All// Level 10 or more// 1 pensionable and 2 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413439,All// Basement// 2 or more pensionable with 1 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413440,Any external stairs// Basement// 2 or more pensionable with 1 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413441,All// Ground// 2 or more pensionable with 1 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413442,Any external stairs// Ground// 2 or more pensionable with 1 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413443,All// Level 1 or 2// 2 or more pensionable with 1 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413444,External stairs Only// Level 1 or 2// 2 or more pensionable with 1 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413445,With lift// Level 1 or 2// 2 or more pensionable with 1 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413446,All// Level 3 or 4// 2 or more pensionable with 1 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413447,With lift// Level 3 or 4// 2 or more pensionable with 1 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413448,All// Level 5 or 6// 2 or more pensionable with 1 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413449,With lift// Level 5 or 6// 2 or more pensionable with 1 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413450,All// Level 7 to 9// 2 or more pensionable with 1 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413451,All// Level 10 or more// 2 or more pensionable with 1 or more non pensionable// Households// Scottish household type in permanent buildings by age of residents
S413452, All // Children in Household with 1 Adult // 1 or more children all aged 0-4 // Basement // Households // Scottish household type in permanent buildings by age of residents
S413453, Any external stairs // Children in Household with 1 Adult // 1 or more children all aged 0-4 // Basement // Households // Scottish household type in permanent buildings by age of residents
S413454, All // Children in Household with 1 Adult // 1 or more children all aged 0-4 // Ground // Households // Scottish household type in permanent buildings by age of residents
S413455, Any external stairs // Children in Household with 1 Adult // 1 or more children all aged 0-4 // Ground // Households // Scottish household type in permanent buildings by age of residents
S413456, All // Children in Household with 1 Adult // 1 or more children all aged 0-4 // Level 1 or 2 // Households // Scottish household type in permanent buildings by age of residents
S413457, External stairs Only // Children in Household with 1 Adult // 1 or more children all aged 0-4 // Level 1 or 2 // Households // Scottish household type in permanent buildings by age of residents
S413458, With lift // Children in Household with 1 Adult // 1 or more children all aged 0-4 // Level 1 or 2 // Households // Scottish household type in permanent buildings by age of residents
S413459, All // Children in Household with 1 Adult // 1 or more children all aged 0-4 // Level 3 or 4 // Households // Scottish household type in permanent buildings by age of residents
S413460, With lift // Children in Household with 1 Adult // 1 or more children all aged 0-4 // Level 3 or 4 // Households // Scottish household type in permanent buildings by age of residents
S413461, All // Children in Household with 1 Adult // 1 or more children all aged 0-4 // Level 5 or 6 // Households // Scottish household type in permanent buildings by age of residents
S413462, With lift // Children in Household with 1 Adult // 1 or more children all aged 0-4 // Level 5 or 6 // Households // Scottish household type in permanent buildings by age of residents
S413463, All // Children in Household with 1 Adult // 1 or more children all aged 0-4 // Level 7 to 9 // Households // Scottish household type in permanent buildings by age of residents
S413464, All // Children in Household with 1 Adult // 1 or more children all aged 0-4 // Level 10 or more // Households // Scottish household type in permanent buildings by age of residents
S413465, All // Children in Household with 1 Adult // 1 or more children all aged 5-15 // Basement // Households // Scottish household type in permanent buildings by age of residents
S413466, Any external stairs // Children in Household with 1 Adult // 1 or more children all aged 5-15 // Basement // Households // Scottish household type in permanent buildings by age of residents
S413467, All // Children in Household with 1 Adult // 1 or more children all aged 5-15 // Ground // Households // Scottish household type in permanent buildings by age of residents
S413468, Any external stairs // Children in Household with 1 Adult // 1 or more children all aged 5-15 // Ground // Households // Scottish household type in permanent buildings by age of residents
S413469, All // Children in Household with 1 Adult // 1 or more children all aged 5-15 // Level 1 or 2 // Households // Scottish household type in permanent buildings by age of residents
S413470, External stairs Only // Children in Household with 1 Adult // 1 or more children all aged 5-15 // Level 1 or 2 // Households // Scottish household type in permanent buildings by age of residents
S413471, With lift // Children in Household with 1 Adult // 1 or more children all aged 5-15 // Level 1 or 2 // Households // Scottish household type in permanent buildings by age of residents
S413472, All // Children in Household with 1 Adult // 1 or more children all aged 5-15 // Level 3 or 4 // Households // Scottish household type in permanent buildings by age of residents
S413473, With lift // Children in Household with 1 Adult // 1 or more children all aged 5-15 // Level 3 or 4 // Households // Scottish household type in permanent buildings by age of residents
S413474, All // Children in Household with 1 Adult // 1 or more children all aged 5-15 // Level 5 or 6 // Households // Scottish household type in permanent buildings by age of residents
S413475, With lift // Children in Household with 1 Adult // 1 or more children all aged 5-15 // Level 5 or 6 // Households // Scottish household type in permanent buildings by age of residents
S413476, All // Children in Household with 1 Adult // 1 or more children all aged 5-15 // Level 7 to 9 // Households // Scottish household type in permanent buildings by age of residents
S413477, All // Children in Household with 1 Adult // 1 or more children all aged 5-15 // Level 10 or more // Households // Scottish household type in permanent buildings by age of residents
S413478, All // Children in Household with 1 Adult // 2 or more children all aged 0-15 // Basement // Households // Scottish household type in permanent buildings by age of residents
S413479, Any external stairs // Children in Household with 1 Adult // 2 or more children all aged 0-15 // Basement // Households // Scottish household type in permanent buildings by age of residents
S413480, All // Children in Household with 1 Adult // 2 or more children all aged 0-15 // Ground // Households // Scottish household type in permanent buildings by age of residents
S413481, Any external stairs // Children in Household with 1 Adult // 2 or more children all aged 0-15 // Ground // Households // Scottish household type in permanent buildings by age of residents
S413482, All // Children in Household with 1 Adult // 2 or more children all aged 0-15 // Level 1 or 2 // Households // Scottish household type in permanent buildings by age of residents
S413483, External stairs Only // Children in Household with 1 Adult // 2 or more children all aged 0-15 // Level 1 or 2 // Households // Scottish household type in permanent buildings by age of residents
S413484, With lift // Children in Household with 1 Adult // 2 or more children all aged 0-15 // Level 1 or 2 // Households // Scottish household type in permanent buildings by age of residents
S413485, All // Children in Household with 1 Adult // 2 or more children all aged 0-15 // Level 3 or 4 // Households // Scottish household type in permanent buildings by age of residents
S413486, With lift // Children in Household with 1 Adult // 2 or more children all aged 0-15 // Level 3 or 4 // Households // Scottish household type in permanent buildings by age of residents
S413487, All // Children in Household with 1 Adult // 2 or more children all aged 0-15 // Level 5 or 6 // Households // Scottish household type in permanent buildings by age of residents
S413488, With lift // Children in Household with 1 Adult // 2 or more children all aged 0-15 // Level 5 or 6 // Households // Scottish household type in permanent buildings by age of residents
S413489, All // Children in Household with 1 Adult // 2 or more children all aged 0-15 // Level 7 to 9 // Households // Scottish household type in permanent buildings by age of residents
S413490, All // Children in Household with 1 Adult // 2 or more children all aged 0-15 // Level 10 or more // Households // Scottish household type in permanent buildings by age of residents
S413491, All // Children in Household with 2 or more Adults // 1 or more children all aged 0-4  // Basement // Households // Scottish household type in permanent buildings by age of residents
S413492, Any external stairs // Children in Household with 2 or more Adults // 1 or more children all aged 0-4  // Basement // Households // Scottish household type in permanent buildings by age of residents
S413493, All // Children in Household with 2 or more Adults // 1 or more children all aged 0-4  // Ground // Households // Scottish household type in permanent buildings by age of residents
S413494, Any external stairs // Children in Household with 2 or more Adults // 1 or more children all aged 0-4  // Ground // Households // Scottish household type in permanent buildings by age of residents
S413495, All // Children in Household with 2 or more Adults // 1 or more children all aged 0-4  // Level 1 or 2 // Households // Scottish household type in permanent buildings by age of residents
S413496, External stairs Only // Children in Household with 2 or more Adults // 1 or more children all aged 0-4  // Level 1 or 2 // Households // Scottish household type in permanent buildings by age of residents
S413497, With lift // Children in Household with 2 or more Adults // 1 or more children all aged 0-4  // Level 1 or 2 // Households // Scottish household type in permanent buildings by age of residents
S413498, All // Children in Household with 2 or more Adults // 1 or more children all aged 0-4  // Level 3 or 4 // Households // Scottish household type in permanent buildings by age of residents
S413499, With lift // Children in Household with 2 or more Adults // 1 or more children all aged 0-4  // Level 3 or 4 // Households // Scottish household type in permanent buildings by age of residents
S413500, All // Children in Household with 2 or more Adults // 1 or more children all aged 0-4  // Level 5 or 6 // Households // Scottish household type in permanent buildings by age of residents
S413501, With lift // Children in Household with 2 or more Adults // 1 or more children all aged 0-4  // Level 5 or 6 // Households // Scottish household type in permanent buildings by age of residents
S413502, All // Children in Household with 2 or more Adults // 1 or more children all aged 0-4  // Level 7 to 9 // Households // Scottish household type in permanent buildings by age of residents
S413503, All // Children in Household with 2 or more Adults // 1 or more children all aged 0-4  // Level 10 or more // Households // Scottish household type in permanent buildings by age of residents
S413504, All // Children in Household with 2 or more Adults // 1 or more children all aged 5-15  // Basement // Households // Scottish household type in permanent buildings by age of residents
S413505, Any external stairs // Children in Household with 2 or more Adults // 1 or more children all aged 5-15  // Basement // Households // Scottish household type in permanent buildings by age of residents
S413506, All // Children in Household with 2 or more Adults // 1 or more children all aged 5-15  // Ground // Households // Scottish household type in permanent buildings by age of residents
S413507, Any external stairs // Children in Household with 2 or more Adults // 1 or more children all aged 5-15  // Ground // Households // Scottish household type in permanent buildings by age of residents
S413508, All // Children in Household with 2 or more Adults // 1 or more children all aged 5-15  // Level 1 or 2 // Households // Scottish household type in permanent buildings by age of residents
S413509, External stairs Only // Children in Household with 2 or more Adults // 1 or more children all aged 5-15  // Level 1 or 2 // Households // Scottish household type in permanent buildings by age of residents
S413510, With lift // Children in Household with 2 or more Adults // 1 or more children all aged 5-15  // Level 1 or 2 // Households // Scottish household type in permanent buildings by age of residents
S413511, All // Children in Household with 2 or more Adults // 1 or more children all aged 5-15  // Level 3 or 4 // Households // Scottish household type in permanent buildings by age of residents
S413512, With lift // Children in Household with 2 or more Adults // 1 or more children all aged 5-15  // Level 3 or 4 // Households // Scottish household type in permanent buildings by age of residents
S413513, All // Children in Household with 2 or more Adults // 1 or more children all aged 5-15  // Level 5 or 6 // Households // Scottish household type in permanent buildings by age of residents
S413514, With lift // Children in Household with 2 or more Adults // 1 or more children all aged 5-15  // Level 5 or 6 // Households // Scottish household type in permanent buildings by age of residents
S413515, All // Children in Household with 2 or more Adults // 1 or more children all aged 5-15  // Level 7 to 9 // Households // Scottish household type in permanent buildings by age of residents
S413516, All // Children in Household with 2 or more Adults // 1 or more children all aged 5-15  // Level 10 or more // Households // Scottish household type in permanent buildings by age of residents
S413517, All // Children in Household with 2 or more Adults // 2 or more children all aged 0-15  // Basement // Households // Scottish household type in permanent buildings by age of residents
S413518, Any external stairs // Children in Household with 2 or more Adults // 2 or more children all aged 0-15  // Basement // Households // Scottish household type in permanent buildings by age of residents
S413519, All // Children in Household with 2 or more Adults // 2 or more children all aged 0-15  // Ground // Households // Scottish household type in permanent buildings by age of residents
S413520, Any external stairs // Children in Household with 2 or more Adults // 2 or more children all aged 0-15  // Ground // Households // Scottish household type in permanent buildings by age of residents
S413521, All // Children in Household with 2 or more Adults // 2 or more children all aged 0-15  // Level 1 or 2 // Households // Scottish household type in permanent buildings by age of residents
S413522, External stairs Only // Children in Household with 2 or more Adults // 2 or more children all aged 0-15  // Level 1 or 2 // Households // Scottish household type in permanent buildings by age of residents
S413523, With lift // Children in Household with 2 or more Adults // 2 or more children all aged 0-15  // Level 1 or 2 // Households // Scottish household type in permanent buildings by age of residents
S413524, All // Children in Household with 2 or more Adults // 2 or more children all aged 0-15  // Level 3 or 4 // Households // Scottish household type in permanent buildings by age of residents
S413525, With lift // Children in Household with 2 or more Adults // 2 or more children all aged 0-15  // Level 3 or 4 // Households // Scottish household type in permanent buildings by age of residents
S413526, All // Children in Household with 2 or more Adults // 2 or more children all aged 0-15  // Level 5 or 6 // Households // Scottish household type in permanent buildings by age of residents
S413527, With lift // Children in Household with 2 or more Adults // 2 or more children all aged 0-15  // Level 5 or 6 // Households // Scottish household type in permanent buildings by age of residents
S413528, All // Children in Household with 2 or more Adults // 2 or more children all aged 0-15  // Level 7 to 9 // Households // Scottish household type in permanent buildings by age of residents
S413529, All // Children in Household with 2 or more Adults // 2 or more children all aged 0-15  // Level 10 or more // Households // Scottish household type in permanent buildings by age of residents
S413530,All// TOTAL: Households// Basement// Households// Scottish household type in permanent buildings by age of residents
S413531,Any external stairs// TOTAL: Households// Basement// Households// Scottish household type in permanent buildings by age of residents
S413532,All// TOTAL: Households// Ground// Households// Scottish household type in permanent buildings by age of residents
S413533,Any external stairs// TOTAL: Households// Ground// Households// Scottish household type in permanent buildings by age of residents
S413534,All// TOTAL: Households// Level 1 or 2// Households// Scottish household type in permanent buildings by age of residents
S413535,External stairs Only// TOTAL: Households// Level 1 or 2// Households// Scottish household type in permanent buildings by age of residents
S413536,With lift// TOTAL: Households// Level 1 or 2// Households// Scottish household type in permanent buildings by age of residents
S413537,All// TOTAL: Households// Level 3 or 4// Households// Scottish household type in permanent buildings by age of residents
S413538,With lift// TOTAL: Households// Level 3 or 4// Households// Scottish household type in permanent buildings by age of residents
S413539,All// TOTAL: Households// Level 5 or 6// Households// Scottish household type in permanent buildings by age of residents
S413540,With lift// TOTAL: Households// Level 5 or 6// Households// Scottish household type in permanent buildings by age of residents
S413541,All// TOTAL: Households// Level 7 to 9// Households// Scottish household type in permanent buildings by age of residents
S413542,All// TOTAL: Households// Level 10 or more// Households// Scottish household type in permanent buildings by age of residents
S413543,All// TOTAL: Persons// Basement// Households// Scottish household type in permanent buildings by age of residents
S413544,Any external stairs// TOTAL: Persons// Basement// Households// Scottish household type in permanent buildings by age of residents
S413545,All// TOTAL: Persons// Ground// Households// Scottish household type in permanent buildings by age of residents
S413546,Any external stairs// TOTAL: Persons// Ground// Households// Scottish household type in permanent buildings by age of residents
S413547,All// TOTAL: Persons// Level 1 or 2// Households// Scottish household type in permanent buildings by age of residents
S413548,External stairs Only// TOTAL: Persons// Level 1 or 2// Households// Scottish household type in permanent buildings by age of residents
S413549,With lift// TOTAL: Persons// Level 1 or 2// Households// Scottish household type in permanent buildings by age of residents
S413550,All// TOTAL: Persons// Level 3 or 4// Households// Scottish household type in permanent buildings by age of residents
S413551,With lift// TOTAL: Persons// Level 3 or 4// Households// Scottish household type in permanent buildings by age of residents
S413552,All// TOTAL: Persons// Level 5 or 6// Households// Scottish household type in permanent buildings by age of residents
S413553,With lift// TOTAL: Persons// Level 5 or 6// Households// Scottish household type in permanent buildings by age of residents
S413554,All// TOTAL: Persons// Level 7 to 9// Households// Scottish household type in permanent buildings by age of residents
S413555,All// TOTAL: Persons// Level 10 or more// Households// Scottish household type in permanent buildings by age of residents
S413556,All// Age 0-2// Basement// Households// Scottish household type in permanent buildings by age of residents
S413557,Any external stairs// Age 0-2// Basement// Households// Scottish household type in permanent buildings by age of residents
S413558,All// Age 0-2// Ground// Households// Scottish household type in permanent buildings by age of residents
S413559,Any external stairs// Age 0-2// Ground// Households// Scottish household type in permanent buildings by age of residents
S413560,All// Age 0-2// Level 1 or 2// Households// Scottish household type in permanent buildings by age of residents
S413561,External stairs Only// Age 0-2// Level 1 or 2// Households// Scottish household type in permanent buildings by age of residents
S413562,With lift// Age 0-2// Level 1 or 2// Households// Scottish household type in permanent buildings by age of residents
S413563,All// Age 0-2// Level 3 or 4// Households// Scottish household type in permanent buildings by age of residents
S413564,With lift// Age 0-2// Level 3 or 4// Households// Scottish household type in permanent buildings by age of residents
S413565,All// Age 0-2// Level 5 or 6// Households// Scottish household type in permanent buildings by age of residents
S413566,With lift// Age 0-2// Level 5 or 6// Households// Scottish household type in permanent buildings by age of residents
S413567,All// Age 0-2// Level 7 to 9// Households// Scottish household type in permanent buildings by age of residents
S413568,All// Age 0-2// Level 10 or more// Households// Scottish household type in permanent buildings by age of residents
S413569,All// Age 0-4// Basement// Households// Scottish household type in permanent buildings by age of residents
S413570,Any external stairs// Age 0-4// Basement// Households// Scottish household type in permanent buildings by age of residents
S413571,All// Age 0-4// Ground// Households// Scottish household type in permanent buildings by age of residents
S413572,Any external stairs// Age 0-4// Ground// Households// Scottish household type in permanent buildings by age of residents
S413573,All// Age 0-4// Level 1 or 2// Households// Scottish household type in permanent buildings by age of residents
S413574,External stairs Only// Age 0-4// Level 1 or 2// Households// Scottish household type in permanent buildings by age of residents
S413575,With lift// Age 0-4// Level 1 or 2// Households// Scottish household type in permanent buildings by age of residents
S413576,All// Age 0-4// Level 3 or 4// Households// Scottish household type in permanent buildings by age of residents
S413577,With lift// Age 0-4// Level 3 or 4// Households// Scottish household type in permanent buildings by age of residents
S413578,All// Age 0-4// Level 5 or 6// Households// Scottish household type in permanent buildings by age of residents
S413579,With lift// Age 0-4// Level 5 or 6// Households// Scottish household type in permanent buildings by age of residents
S413580,All// Age 0-4// Level 7 to 9// Households// Scottish household type in permanent buildings by age of residents
S413581,All// Age 0-4// Level 10 or more// Households// Scottish household type in permanent buildings by age of residents
S413582,All// Age 5-15// Basement// Households// Scottish household type in permanent buildings by age of residents
S413583,Any external stairs// Age 5-15// Basement// Households// Scottish household type in permanent buildings by age of residents
S413584,All// Age 5-15// Ground// Households// Scottish household type in permanent buildings by age of residents
S413585,Any external stairs// Age 5-15// Ground// Households// Scottish household type in permanent buildings by age of residents
S413586,All// Age 5-15// Level 1 or 2// Households// Scottish household type in permanent buildings by age of residents
S413587,External stairs Only// Age 5-15// Level 1 or 2// Households// Scottish household type in permanent buildings by age of residents
S413588,With lift// Age 5-15// Level 1 or 2// Households// Scottish household type in permanent buildings by age of residents
S413589,All// Age 5-15// Level 3 or 4// Households// Scottish household type in permanent buildings by age of residents
S413590,With lift// Age 5-15// Level 3 or 4// Households// Scottish household type in permanent buildings by age of residents
S413591,All// Age 5-15// Level 5 or 6// Households// Scottish household type in permanent buildings by age of residents
S413592,With lift// Age 5-15// Level 5 or 6// Households// Scottish household type in permanent buildings by age of residents
S413593,All// Age 5-15// Level 7 to 9// Households// Scottish household type in permanent buildings by age of residents
S413594,All// Age 5-15// Level 10 or more// Households// Scottish household type in permanent buildings by age of residents
S413595,All// Age 65-74// Basement// Male// Households// Scottish household type in permanent buildings by age of residents
S413596,Any external stairs// Age 65-74// Basement// Male// Households// Scottish household type in permanent buildings by age of residents
S413597,All// Age 65-74// Ground// Male// Households// Scottish household type in permanent buildings by age of residents
S413598,Any external stairs// Age 65-74// Ground// Male// Households// Scottish household type in permanent buildings by age of residents
S413599,All// Age 65-74// Level 1 or 2// Male// Households// Scottish household type in permanent buildings by age of residents
S413600,External stairs Only// Age 65-74// Level 1 or 2// Male// Households// Scottish household type in permanent buildings by age of residents
S413601,With lift// Age 65-74// Level 1 or 2// Male// Households// Scottish household type in permanent buildings by age of residents
S413602,All// Age 65-74// Level 3 or 4// Male// Households// Scottish household type in permanent buildings by age of residents
S413603,With lift// Age 65-74// Level 3 or 4// Male// Households// Scottish household type in permanent buildings by age of residents
S413604,All// Age 65-74// Level 5 or 6// Male// Households// Scottish household type in permanent buildings by age of residents
S413605,With lift// Age 65-74// Level 5 or 6// Male// Households// Scottish household type in permanent buildings by age of residents
S413606,All// Age 65-74// Level 7 to 9// Male// Households// Scottish household type in permanent buildings by age of residents
S413607,All// Age 65-74// Level 10 or more// Male// Households// Scottish household type in permanent buildings by age of residents
S413608,All// Age 60-74// Basement// Female// Households// Scottish household type in permanent buildings by age of residents
S413609,Any external stairs// Age 60-74// Basement// Female// Households// Scottish household type in permanent buildings by age of residents
S413610,All// Age 60-74// Ground// Female// Households// Scottish household type in permanent buildings by age of residents
S413611,Any external stairs// Age 60-74// Ground// Female// Households// Scottish household type in permanent buildings by age of residents
S413612,All// Age 60-74// Level 1 or 2// Female// Households// Scottish household type in permanent buildings by age of residents
S413613,External stairs Only// Age 60-74// Level 1 or 2// Female// Households// Scottish household type in permanent buildings by age of residents
S413614,With lift// Age 60-74// Level 1 or 2// Female// Households// Scottish household type in permanent buildings by age of residents
S413615,All// Age 60-74// Level 3 or 4// Female// Households// Scottish household type in permanent buildings by age of residents
S413616,With lift// Age 60-74// Level 3 or 4// Female// Households// Scottish household type in permanent buildings by age of residents
S413617,All// Age 60-74// Level 5 or 6// Female// Households// Scottish household type in permanent buildings by age of residents
S413618,With lift// Age 60-74// Level 5 or 6// Female// Households// Scottish household type in permanent buildings by age of residents
S413619,All// Age 60-74// Level 7 to 9// Female// Households// Scottish household type in permanent buildings by age of residents
S413620,All// Age 60-74// Level 10 or more// Female// Households// Scottish household type in permanent buildings by age of residents
S413621,All// Age 75+// Basement// Male// Households// Scottish household type in permanent buildings by age of residents
S413622,Any external stairs// Age 75+// Basement// Male// Households// Scottish household type in permanent buildings by age of residents
S413623,All// Age 75+// Ground// Male// Households// Scottish household type in permanent buildings by age of residents
S413624,Any external stairs// Age 75+// Ground// Male// Households// Scottish household type in permanent buildings by age of residents
S413625,All// Age 75+// Level 1 or 2// Male// Households// Scottish household type in permanent buildings by age of residents
S413626,External stairs Only// Age 75+// Level 1 or 2// Male// Households// Scottish household type in permanent buildings by age of residents
S413627,With lift// Age 75+// Level 1 or 2// Male// Households// Scottish household type in permanent buildings by age of residents
S413628,All// Age 75+// Level 3 or 4// Male// Households// Scottish household type in permanent buildings by age of residents
S413629,With lift// Age 75+// Level 3 or 4// Male// Households// Scottish household type in permanent buildings by age of residents
S413630,All// Age 75+// Level 5 or 6// Male// Households// Scottish household type in permanent buildings by age of residents
S413631,With lift// Age 75+// Level 5 or 6// Male// Households// Scottish household type in permanent buildings by age of residents
S413632,All// Age 75+// Level 7 to 9// Male// Households// Scottish household type in permanent buildings by age of residents
S413633,All// Age 75+// Level 10 or more// Male// Households// Scottish household type in permanent buildings by age of residents
S413634,All// Age 75+// Basement// Female// Households// Scottish household type in permanent buildings by age of residents
S413635,Any external stairs// Age 75+// Basement// Female// Households// Scottish household type in permanent buildings by age of residents
S413636,All// Age 75+// Ground// Female// Households// Scottish household type in permanent buildings by age of residents
S413637,Any external stairs// Age 75+// Ground// Female// Households// Scottish household type in permanent buildings by age of residents
S413638,All// Age 75+// Level 1 or 2// Female// Households// Scottish household type in permanent buildings by age of residents
S413639,External stairs Only// Age 75+// Level 1 or 2// Female// Households// Scottish household type in permanent buildings by age of residents
S413640,With lift// Age 75+// Level 1 or 2// Female// Households// Scottish household type in permanent buildings by age of residents
S413641,All// Age 75+// Level 3 or 4// Female// Households// Scottish household type in permanent buildings by age of residents
S413642,With lift// Age 75+// Level 3 or 4// Female// Households// Scottish household type in permanent buildings by age of residents
S413643,All// Age 75+// Level 5 or 6// Female// Households// Scottish household type in permanent buildings by age of residents
S413644,With lift// Age 75+// Level 5 or 6// Female// Households// Scottish household type in permanent buildings by age of residents
S413645,All// Age 75+// Level 7 to 9// Female// Households// Scottish household type in permanent buildings by age of residents
S413646,All// Age 75+// Level 10 or more// Female// Households// Scottish household type in permanent buildings by age of residents
S413647,All// Permanently Sick// Basement// Households// Scottish household type in permanent buildings by age of residents
S413648,Any external stairs// Permanently Sick// Basement// Households// Scottish household type in permanent buildings by age of residents
S413649,All// Permanently Sick// Ground// Households// Scottish household type in permanent buildings by age of residents
S413650,Any external stairs// Permanently Sick// Ground// Households// Scottish household type in permanent buildings by age of residents
S413651,All// Permanently Sick// Level 1 or 2// Households// Scottish household type in permanent buildings by age of residents
S413652,External stairs Only// Permanently Sick// Level 1 or 2// Households// Scottish household type in permanent buildings by age of residents
S413653,With lift// Permanently Sick// Level 1 or 2// Households// Scottish household type in permanent buildings by age of residents
S413654,All// Permanently Sick// Level 3 or 4// Households// Scottish household type in permanent buildings by age of residents
S413655,With lift// Permanently Sick// Level 3 or 4// Households// Scottish household type in permanent buildings by age of residents
S413656,All// Permanently Sick// Level 5 or 6// Households// Scottish household type in permanent buildings by age of residents
S413657,With lift// Permanently Sick// Level 5 or 6// Households// Scottish household type in permanent buildings by age of residents
S413658,All// Permanently Sick// Level 7 to 9// Households// Scottish household type in permanent buildings by age of residents
S413659,All// Permanently Sick// Level 10 or more// Households// Scottish household type in permanent buildings by age of residents
S423660,With Ancillary kitchen// 1 Room// Households// Amenities and number of rooms in such households
S423661,Rooms with Ancillary Kitchen// both Exclusive// 1 Room// Households// Amenities and number of rooms in such households
S423662,Rooms with Ancillary Kitchen// both Other// 1 Room// Households// Amenities and number of rooms in such households
S423663,Rooms with Ancillary Kitchen// lacking bath or WC// 1 Room// Households// Amenities and number of rooms in such households
S423664,Rooms with Ancillary Kitchen// Exclusive WC// 1 Room// Households// Amenities and number of rooms in such households
S423665,Rooms with Ancillary Kitchen// +// 1 Room// Households// Amenities and number of rooms in such households
S423666,Rooms with Ancillary Kitchen// 0// 1 Room// Households// Amenities and number of rooms in such households
S423667,Rooms with Ancillary Kitchen// -// 1 Room// Households// Amenities and number of rooms in such households
S423668,With Ancillary kitchen// 2 Rooms// Households// Amenities and number of rooms in such households
S423669,Rooms with Ancillary Kitchen// both Exclusive// 2 Rooms// Households// Amenities and number of rooms in such households
S423670,Rooms with Ancillary Kitchen// both Other// 2 Rooms// Households// Amenities and number of rooms in such households
S423671,Rooms with Ancillary Kitchen// lacking bath or WC// 2 Rooms// Households// Amenities and number of rooms in such households
S423672,Rooms with Ancillary Kitchen// Exclusive WC// 2 Rooms// Households// Amenities and number of rooms in such households
S423673,Rooms with Ancillary Kitchen// +// 2 Rooms// Households// Amenities and number of rooms in such households
S423674,Rooms with Ancillary Kitchen// 1// 2 Rooms// Households// Amenities and number of rooms in such households
S423675,Rooms with Ancillary Kitchen// -// 2 Rooms// Households// Amenities and number of rooms in such households
S423676,With Ancillary kitchen// 3 Rooms// Households// Amenities and number of rooms in such households
S423677,Rooms with Ancillary Kitchen// both Exclusive// 3 Rooms// Households// Amenities and number of rooms in such households
S423678,Rooms with Ancillary Kitchen// both Other// 3 Rooms// Households// Amenities and number of rooms in such households
S423679,Rooms with Ancillary Kitchen// lacking bath or WC// 3 Rooms// Households// Amenities and number of rooms in such households
